"","est1","est2","est3","est4","est5","est6"
"","b/se","b/se","b/se","b/se","b/se","b/se"
"rpci_vig","9.8***","6.5***","8.8***","8.4***","9.4***","4.3**"
"","2.04","2.12","2.12","2.12","2.11","2.09"
"_cons","436.9***","448.7***","448.6***","448.6***","448.6***","448.7***"
"","0.02","0.02","0.02","0.02","0.02","0.02"
"N","6380963","5913975","5913975","5913975","5913144","5913144"
"dep_mean","437.0","448.7","448.7","448.7","448.8","448.8"
"unique_idnss","306909.0","248935.0","248935.0","248935.0","248830.0","248830.0"
"unique_idrfc","164727.0","145687.0","145687.0","145687.0","145648.0","145648.0"
